id,name,time,place,association,publisher,publish_date,chief_editor,editors,link
177,2022年化学研讨会,2022-07-01,广州,化学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
178,2022年计算机研讨会,2022-03-01,北京,计算机学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
179,2022年数学研讨会,2022-01-01,苏州,数学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
180,2022年心理研讨会,2022-05-01,苏州,心理学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
181,2022年教育研讨会,2022-10-01,苏州,教育学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
182,2022年当代文学研讨会,2022-01-01,武汉,当代文学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
183,2022年比较文学研讨会,2022-03-01,北京,比较文学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
184,2023年物理研讨会,2023-03-01,苏州,物理学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
185,2023年化学研讨会,2023-02-01,杭州,化学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
186,2023年计算机研讨会,2023-11-01,南京,计算机学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
187,2023年数学研讨会,2023-04-01,深圳,数学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
188,2023年心理研讨会,2023-05-01,武汉,心理学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
189,2023年教育研讨会,2023-08-01,杭州,教育学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
190,2023年当代文学研讨会,2023-02-01,深圳,当代文学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
191,2023年比较文学研讨会,2023-11-01,深圳,比较文学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
